 [DEBUG] 2019-08-15 20:07:23,718 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\exta_apps\xadmin\plugins\bookmark.py first seen with mtime 1565870663.3203475
 [DEBUG] 2019-08-15 20:07:23,718 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\pymysql\constants\CR.py first seen with mtime 1557893925.042381
 [DEBUG] 2019-08-15 20:07:23,719 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\diff_match_patch\diff_match_patch.py first seen with mtime 1541990293.0
 [DEBUG] 2019-08-15 20:07:23,719 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\multidict\_compat.py first seen with mtime 1564027688.5805244
 [DEBUG] 2019-08-15 20:07:23,719 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\numpy\core\umath.py first seen with mtime 1564402744.8502417
 [DEBUG] 2019-08-15 20:07:23,719 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\email\header.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,719 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\yarl\quoting.py first seen with mtime 1564027690.520493
 [DEBUG] 2019-08-15 20:07:23,720 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\writer\__init__.py first seen with mtime 1542819629.0
 [DEBUG] 2019-08-15 20:07:23,720 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\xlwt\Formatting.py first seen with mtime 1557906668.064867
 [DEBUG] 2019-08-15 20:07:23,720 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\numpy\ctypeslib.py first seen with mtime 1564402743.9890175
 [DEBUG] 2019-08-15 20:07:23,720 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\drawing\geometry.py first seen with mtime 1542819629.0
 [DEBUG] 2019-08-15 20:07:23,720 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1557894919.4748323
 [DEBUG] 2019-08-15 20:07:23,721 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\asyncio\windows_events.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,721 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\db\migrations\operations\utils.py first seen with mtime 1557894919.4399264
 [DEBUG] 2019-08-15 20:07:23,721 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\calendar.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,721 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\ast.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,721 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\worksheet\write_only.py first seen with mtime 1542819629.0
 [DEBUG] 2019-08-15 20:07:23,722 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\styles\proxy.py first seen with mtime 1542819629.0
 [DEBUG] 2019-08-15 20:07:23,722 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\xlwt\UnicodeUtils.py first seen with mtime 1557906668.0688553
 [DEBUG] 2019-08-15 20:07:23,722 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\apps\utils\log.py first seen with mtime 1565870662.7718186
 [DEBUG] 2019-08-15 20:07:23,722 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\comments\comments.py first seen with mtime 1542819628.0
 [DEBUG] 2019-08-15 20:07:23,722 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\asyncio\events.py first seen with mtime 1505805748.0
 [DEBUG] 2019-08-15 20:07:23,722 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\DLLs\_ssl.pyd first seen with mtime 1507025690.0
 [DEBUG] 2019-08-15 20:07:23,723 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\utils\decorators.py first seen with mtime 1557894919.6004958
 [DEBUG] 2019-08-15 20:07:23,723 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\numpy\lib\mixins.py first seen with mtime 1564402747.3467288
 [DEBUG] 2019-08-15 20:07:23,723 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\worksheet\merge.py first seen with mtime 1542819629.0
 [DEBUG] 2019-08-15 20:07:23,723 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\exta_apps\xadmin\plugins\images.py first seen with mtime 1565870663.3303204
 [DEBUG] 2019-08-15 20:07:23,723 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1557894916.2923424
 [DEBUG] 2019-08-15 20:07:23,724 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\xml\sax\_exceptions.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,724 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\drawing\drawing.py first seen with mtime 1542819628.0
 [DEBUG] 2019-08-15 20:07:23,724 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\unittest\case.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,724 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\views\decorators\http.py first seen with mtime 1557894919.6433816
